"Código SIEX";"Código asociación";"NIF";"Razón social";"Detalle";"Autoridad competente";Fecha de alta;Fecha de modificación;Fecha de baja
"385";"ES1008";"F40165193";"VIVEROS CAMPIÑAS  S. COOP.";"Organización de productores de frutas y hortalizas";"CASTILLA - LEON";26/12/2023;;
"386";"ES1010";"F25687351";"PRAMAR FRUIT";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"387";"ES1011";"F74337593";"Sección de Frutas y Hortalizas de CAMPOASTUR  Productos y Servicios .";"Organización de productores de frutas y hortalizas";"ASTURIAS";26/12/2023;;
"388";"ES1012";"V54429220";"SAT 510 CV BETISAN";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"389";"ES1013";"V54349139";"SAT 498CV RAIMSA";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"390";"ES1014";"F03014198";"SECCIÓN COMERCIALIZACIÓN DE LA COOP. CAMPO STA MARIA MAGDALENA";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"391";"ES1015";"B85758688";"ACTIVIDADES DE PRODUCCIÓN Y COMERCIALIZACIÓN LA VEGUILLA";"Organización de productores de frutas y hortalizas";"CASTILLA - LA MANCHA";26/12/2023;;
"392";"ES1017";"F24020604";"S.A.T. CENTRAL HORTOFRUTÍCOLA DEL BIERZO";"Organización de productores de frutas y hortalizas";"CASTILLA - LEON";26/12/2023;;
"393";"ES1019";"F73553521";"FRUTOS SECOS ESPUÑA";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;30/01/2024
"394";"ES1020";"F22102859";"ALMENDRAS ALTO ARAGÓN";"Organización de productores de frutas y hortalizas";"ARAGON";26/12/2023;;
"395";"ES1021";"V99257404";"CALIBRE";"Organización de productores de frutas y hortalizas";"ARAGON";26/12/2023;;
"396";"ES1022";"V76051739";"LA  ALOSNERA";"Organización de productores de frutas y hortalizas";"CANARIAS";26/12/2023;;
"397";"ES1025";"V02506574";"EL HONDO";"Organización de productores de frutas y hortalizas";"CASTILLA - LA MANCHA";26/12/2023;;
"398";"ES1027";"B73674483";"PRODUCTORES AGRICOLAS CENAGRI";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;14/08/2025
"399";"ES1028";"B73679847";"ORGANIZACION DE PRODUCTORES LOOIJE";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"400";"ES1029";"V98123334";"MONTESA INTEGRAL AGRÍCOLA SAT N. 1001";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"401";"ES1030";"F97368716";"HATO VERDE";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"402";"ES1032";"V54515200";"SIERRAMAR";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";17/12/2025;17/12/2025;29/07/2024
"403";"ES1034";"B30492169";"FINCA AGRÍCOLA EL MURTAL";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"404";"ES1037";"F46219317";"SECCIÓN HORTOFRUTICOLA ORGANIZACIÓN DE PRODUCTORES DE COFRUDECA COOP.V";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"405";"ES1038";"F46025326";"SECCIÓN HORTOFRUTICOLA DE LA COOPERATIVA VINICOLA DE QUATRETONDA COOP. V.";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"406";"ES1039";"F46026084";"SECCIÓN CITRÍCOLA Y HORTOFRUTÍCOLA DE LA COOPERATIVA DEL CAMP LLUTXENT-OTOS, COOP. V";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;14/08/2025
"407";"ES1040";"F10003242";"Coop. del CAMPO";"Organización de productores de frutas y hortalizas";"EXTREMADURA";26/12/2023;;
"408";"ES1041";"F31134745";"MARCHITE";"Organización de productores de frutas y hortalizas";"NAVARRA";26/12/2023;;23/07/2024
"409";"ES1042";"V02513935";"HUERTA NATURE";"Organización de productores de frutas y hortalizas";"CASTILLA - LA MANCHA";26/12/2023;;
"410";"ES1043";"V05204250";"S.A.T. HORTÍCOLA DE LA MORAÑA BAJA";"Organización de productores de frutas y hortalizas";"CASTILLA - LEON";26/12/2023;;
"411";"ES1044";"F35009000";"AGRÍCOLA DEL NORTE DE GRAN CANARIA";"Organización de productores de frutas y hortalizas";"CANARIAS";26/12/2023;;
"412";"ES1047";"G73729493";"SAT Nº 9867 MILCO";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"413";"ES1048";"B30860746";"FINCAS AGRÍCOLAS Y  HORTOFRUTÍCOLAS DEL SURESTE, S.L.";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"414";"ES1049";"B82847500";"ABM PRODUCERS";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;30/01/2024
"415";"ES1050";"V25729955";"FRUCINSE";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"416";"ES1051";"F18009068";"AGRO-OLIVARERA  NTRA. SRA. DE LA SOLEDAD DE HUESCAR";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"417";"ES1053";"F76075332";"COSECHA DIRECTA";"Organización de productores de frutas y hortalizas";"CANARIAS";26/12/2023;;
"418";"ES1054";"F53070900";"SAT 45 DON CIRO";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"419";"ES1055";"V21514922";"PLUS BERRIES";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"420";"ES1056";"V18978064";"CAMPOS DE GRANADA";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"421";"ES1057";"B30590335";"MUNDOSOL QUALITY";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"422";"ES1058";"B73765414";"ROYALVEG FRESH PRODUCE";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"423";"ES1059";"V98461536";"IBERIA FRUTÍCOLA";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"424";"ES1060";"V98452212";"CITRICOS DE COVADONGA";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"425";"ES1061";"V22298517";"UNICINCA SAT";"Organización de productores de frutas y hortalizas";"ARAGON";26/12/2023;;
"426";"ES1062";"F22374052";"SUMMER FRUIT";"Organización de productores de frutas y hortalizas";"ARAGON";26/12/2023;;
"427";"ES1064";"F25395005";"PRODUCCIONS AGRÀRIES DEL CAMP,  PAC. SAT 1375 CAT";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"428";"ES1065";"V25749474";"VALLPINAR";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"429";"ES1066";"F25750506";"ALPICAT FRUITS, SCCL ";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"430";"ES1067";"V54700794";"BIOTORGAL";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;23/07/2024
"431";"ES1068";"V98458094";"PICAMON FRUITS";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"432";"ES1069";"V54706080";"UVAS GRUP";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"433";"ES1071";"V12912309";"SPANISH ORANGES";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"434";"ES1072";"B71135636";"SOLA ONIONS GROUP";"Organización de productores de frutas y hortalizas";"NAVARRA";26/12/2023;;
"435";"ES1073";"V54699780";"UVAS DOCE";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;23/07/2024
"436";"ES1075";"F21220181";"JOTE";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"437";"ES1076";"F21269907";"FRESLUCENA";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"438";"ES1077";"V22385405";"LA ESPESA";"Organización de productores de frutas y hortalizas";"ARAGON";26/12/2023;;
"439";"ES1078";"V04655270";"BIOSABOR";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"440";"ES1079";"V99380859";"AGRICOLA NATURAL ARLIA";"Organización de productores de frutas y hortalizas";"ARAGON";26/12/2023;;
"441";"ES1080";"F30509384";"COALOR";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"442";"ES1081";"F47522198";"SDAD. COOP.  PIÑÓN-SOL CyL";"Organización de productores de frutas y hortalizas";"CASTILLA - LEON";26/12/2023;;14/08/2025
"443";"ES1084";"B73819377";"AGRUPACIÓN HORTOFRUTÍCOLA LUCAS OPFH";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"444";"ES1086";"V12731790";"SAT 470 FRUTANOVA";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;23/07/2024
"445";"ES1087";"F21543715";"FRUTA DE ANDALUCIA";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"446";"ES1088";"F16272551";"CHAMPIÑONES REY";"Organización de productores de frutas y hortalizas";"CASTILLA - LA MANCHA";26/12/2023;;30/01/2024
"447";"ES1089";"F02189942";"FRUTALES SANTIAGO APOSTOL DE ISSO";"Organización de productores de frutas y hortalizas";"CASTILLA - LA MANCHA";26/12/2023;;
"448";"ES1090";"V99418873";"DELSHIFRUT";"Organización de productores de frutas y hortalizas";"ARAGON";17/12/2025;17/12/2025;03/11/2025
"449";"ES1092";"B73838948";"GRUPO ALIFRUIT SABOR DE LA TIERRA";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;14/08/2025
"450";"ES1094";"V25780321";"MEDITERRANUTS";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"451";"ES1096";"V99438293";"ALBICE";"Organización de productores de frutas y hortalizas";"ARAGON";26/12/2023;;
"452";"ES1097";"F99429623";"CLAVERIA ALMENDRAS";"Organización de productores de frutas y hortalizas";"ARAGON";26/12/2023;;
"453";"ES1098";"F31195951";"HUERTA DE PERALTA.SECCIÓN DE HORTALIZAS";"Organización de productores de frutas y hortalizas";"NAVARRA";26/12/2023;;
"454";"ES1099";"V91989368";"SÍNTESIS";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"455";"ES1100";"V04798849";"FRUITS AND VEGETABLES LA ÑECA";"Organización de productores de frutas y hortalizas";"ANDALUCIA";17/12/2025;17/12/2025;14/11/2025
"456";"ES1101";"F25794926";"CONJUNTFRUIT";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"457";"ES1102";"V54873484";"SAT 623 AGRONATURE";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;14/08/2025
"458";"ES1104";"B73636086";"TOÑIFRUIT";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"459";"ES1105";"F73895443";"HORTALIZAS SAN LUIS";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"460";"ES1106";"F73894495";"MEDIFRUVER";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"461";"ES1107";"F06014484";"AGRÍCOLA DE MEDELLÍN";"Organización de productores de frutas y hortalizas";"EXTREMADURA";26/12/2023;;
"462";"ES1108";"F38367066";"TEJINASTE";"Organización de productores de frutas y hortalizas";"CANARIAS";26/12/2023;;
"463";"ES1109";"V76059609";"FRUTA TROPICAL DEL NOROESTE";"Organización de productores de frutas y hortalizas";"CANARIAS";26/12/2023;;
"464";"ES1111";"B55538847";"PRODUCCIO CIRERA RIBERA DE L'EBRE";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"465";"ES1112";"B54641162";"FRUTAS EL CIERVO";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";17/12/2025;17/12/2025;10/02/2025
"466";"ES1113";"F40262842";"S.A.T. AGRÍCOLA CAMPOCEGA";"Organización de productores de frutas y hortalizas";"CASTILLA - LEON";26/12/2023;;
"467";"ES1115";"B99450876";"FRUTOP & CROP";"Organización de productores de frutas y hortalizas";"ARAGON";26/12/2023;;
"468";"ES1116";"V99476517";"EXTRA SWEET ONIONS";"Organización de productores de frutas y hortalizas";"ARAGON";26/12/2023;;30/01/2024
"469";"ES1117";"V71302137";"YES FRESH";"Organización de productores de frutas y hortalizas";"NAVARRA";26/12/2023;;
"470";"ES1118";"V25811225";"NORFRUT";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"471";"ES1119";"V13433578";"CAMPOS";"Organización de productores de frutas y hortalizas";"CASTILLA - LA MANCHA";26/12/2023;;
"472";"ES1121";"V25811118";"SAT AGRONA 1633 CAT";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"473";"ES1122";"F21569678";"EFLOBA";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"474";"ES1123";"B73836918";"TERRANIFRA";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;30/01/2024
"475";"ES1124";"V22411334";"SAT LLANTAIMS ARA 197";"Organización de productores de frutas y hortalizas";"ARAGON";26/12/2023;;
"476";"ES1125";"B55707806";"LA CANAREVA, SL";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"477";"ES1126";"V71329148";"SAT GREEN NATURE 738 NA";"Organización de productores de frutas y hortalizas";"NAVARRA";26/12/2023;;
"478";"ES1127";"V22415988";"FRUTOVE SAT ARA 201";"Organización de productores de frutas y hortalizas";"ARAGON";26/12/2023;;
"479";"ES1128";"F04863759";"AFE";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"480";"ES1129";"V04258901";"GREENCOBI";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"481";"ES1130";"F73935058";"POVEDA FRUITS";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;30/01/2024
"482";"ES1131";"B73731630";"SOL DE LEVANTE PRODUCCIONES";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"483";"ES1132";"B99467581";"FRUTOS SECOS DEL JALON S.L.";"Organización de productores de frutas y hortalizas";"ARAGON";26/12/2023;;
"484";"ES1133";"B73845406";"AGROMONTES FRESH GROUP";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"485";"ES1134";"F21577978";"SABOR DE HUELVA";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"486";"ES1135";"F29249018";"DCOOP";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"487";"ES1136";"F02057149";"SAT Nº 7662 LOS PETOS";"Organización de productores de frutas y hortalizas";"CASTILLA - LA MANCHA";26/12/2023;;
"488";"ES1137";"F30913263";"AGRUPASUR";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"489";"ES1138";"B73971590";"EL DULZE GROWERS";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"490";"ES1139";"F27797745";"BEST FRUIT";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"491";"ES1140";"B30899165";"GRUPO TOROVERDE";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;14/08/2025
"492";"ES1141";"V76265784";"SAT Nº 525/05 APROCAM";"Organización de productores de frutas y hortalizas";"CANARIAS";26/12/2023;;
"493";"ES1142";"F98995947";"GREEN FRUITS COOP. V.";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"494";"ES1143";"G56076821";"FRUBEZAR";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"495";"ES1144";"V16555955";"TERRACOR SAT";"Organización de productores de frutas y hortalizas";"BALEARES";26/12/2023;;
"496";"ES1145";"F14011563";"Cooperativa Agrícola de Regantes (COARE)";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"497";"ES1146";"V55734297";"CITRUS SAT CAT NUM. 1638 CAT LTDA";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"498";"ES1147";"V21594106";"GLOBAL BERRIES";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"499";"ES1148";"B67476705";"GREENFARMERS, SL";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"500";"ES1149";"V25807033";"SAT Núm. 1629 CAT SOL DEL SEGRE";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"501";"ES1150";"V04680237";"BIOSOL PORTOCARRERO";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"502";"ES1151";"F21407739";"COFRELUX";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"503";"ES1152";"B73197188";"DISTINET MURCIA";"Organización de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"504";"ES1153";"F01664200";"NUFRESCO, SCCL";"Organización de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;30/01/2026;
"505";"ES1154";"V42594291";"GRUPODELAVEGA, SAT 665CV";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"506";"ES1155";"V01636729";"FRUTOS SECOS GRATAL";"Organización de productores de frutas y hortalizas";"ARAGON";26/12/2023;;
"507";"ES1156";"F16759862";"CITRICS DE NULES COOP V";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;23/07/2024
"508";"ES1157";"B02968949";"BLOOMING ALMOND S.L.";"Organización de productores de frutas y hortalizas";"ARAGON";26/12/2023;;
"509";"ES1158";"F05328257";"JUCAMP";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"510";"ES1159";"F01805654";"RIBERCAMP COOP V";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"511";"ES1160";"B05323860";"GRUPO CASTILLO OPFH";"Organización de productores de frutas y hortalizas";"EXTREMADURA";26/12/2023;;
"512";"ES1161";"F06614945";"EXPLUM, SDAD. COOP.";"Organización de productores de frutas y hortalizas";"EXTREMADURA";26/12/2023;;
"513";"ES1165";"V05315965";"AGROTROPICAL";"Organización de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"514";"ES007A";"A46720884";"AGRICONSA";"Asociación de organizaciones de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"515";"ES005A";"F46099222";"ANECOOP.";"Asociación de organizaciones de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"516";"ES004A";"G04418257";"ASOC. DE ORGANIZACIONES DE PRODUCTORES DE FRUTAS Y HORTALIZAS DE ANDALUCÍA (APROA)";"Asociación de organizaciones de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"517";"ES008A";"G25729666";"AFRUCAT (Asociación Catalana de Empresas de Frutas y Hortalizas)";"Asociación de organizaciones de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"518";"ES009A";"G30584221";"ASOCIACIÓN DE ORGANIZACIONES DE PRODUCTORES DE FRUTAS Y HORTALIZAS DE LA REGIÓN DE MURCIA (PROEXPORT-AOPFH)";"Asociación de organizaciones de productores de frutas y hortalizas";"MURCIA";26/12/2023;;
"519";"ES003A";"G97162531";"ASOCIACION DE O.P. INTEGRADAS EN EL COMITÉ DE GESTIÓN DE CÍTRICOS (A.O.P.C.C.)";"Asociación de organizaciones de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";26/12/2023;;
"520";"ES010A";"B55734321";"CRISOLAR NUTS, SL";"Asociación de organizaciones de productores de frutas y hortalizas";"CATALUÑA";26/12/2023;;
"521";"ES011A";"F04657466";"UNICA GROUP";"Asociación de organizaciones de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"522";"ES012A";"F21365630";"ONUBAFRUIT";"Asociación de organizaciones de productores de frutas y hortalizas";"ANDALUCIA";26/12/2023;;
"523";"ES013A";"G06213284";"ASOCIACIÓN DE FRUTICULTORES DE EXTREMADURA-AFRUEX";"Asociación de organizaciones de productores de frutas y hortalizas";"EXTREMADURA";26/12/2023;;
"524";"ES014A";"V02794576";"PAGESOS DE MALLORCA AIE";"Asociación de organizaciones de productores de frutas y hortalizas";"BALEARES";26/12/2023;;
"525";"ES1167";"V76204379";"SAT N.º 519/05 EL JABLE";"Organización de productores de frutas y hortalizas";"CANARIAS";26/12/2023;;
"526";"ES1168";"V76825207";"SAT N.º 536/05 Montaña Roja Herbs SAT";"Organización de productores de frutas y hortalizas";"CANARIAS";26/12/2023;;
"527";"ES1163";"B73908055";"CHERRY FRESH S.L.";"Organización de productores de frutas y hortalizas";"MURCIA";30/01/2024;;
"528";"ES1164";"F01843473";"FRUTAS DEL BAJO CINCA S.COOP.";"Organización de productores de frutas y hortalizas";"ARAGON";17/12/2025;17/12/2025;24/07/2025
"529";"ES1166";"V05480702";"BE NATURE SAT";"Organización de productores de frutas y hortalizas";"ANDALUCIA";30/01/2024;;
"530";"ES1170";"B06848345";"SWEET GOLD FRUIT S.L.";"Organización de productores de frutas y hortalizas";"EXTREMADURA";30/01/2024;;
"531";"ES003A";"G97162531";"ASOCIACION DE O.P. INTEGRADAS EN EL COMITÉ DE GESTIÓN DE CÍTRICOS (A.O.P.C.C.)";"Asociación de organizaciones de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";23/07/2024;;16/12/2025
"532";"ES004A";"G04418257";"ASOC. DE ORGANIZACIONES DE PRODUCTORES DE FRUTAS Y HORTALIZAS DE ANDALUCÍA (APROA)";"Asociación de organizaciones de productores de frutas y hortalizas";"ANDALUCIA";23/07/2024;;16/12/2025
"533";"ES005A";"F46099222";"ANECOOP.";"Asociación de organizaciones de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";23/07/2024;;16/12/2025
"534";"ES007A";"A46720884";"AGRICONSA";"Asociación de organizaciones de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";23/07/2024;;16/12/2025
"535";"ES008A";"G25729666";"AFRUCAT (Asociación Catalana de Empresas de Frutas y Hortalizas)";"Asociación de organizaciones de productores de frutas y hortalizas";"CATALUÑA";23/07/2024;;16/12/2025
"536";"ES009A";"G30584221";"ASOCIACIÓN DE ORGANIZACIONES DE PRODUCTORES DE FRUTAS Y HORTALIZAS DE LA REGIÓN DE MURCIA (PROEXPORT-AOPFH)";"Asociación de organizaciones de productores de frutas y hortalizas";"MURCIA";23/07/2024;;16/12/2025
"537";"ES010A";"B55734321";"CRISOLAR NUTS, SL";"Asociación de organizaciones de productores de frutas y hortalizas";"CATALUÑA";23/07/2024;;16/12/2025
"538";"ES011A";"F04657466";"UNICA GROUP";"Asociación de organizaciones de productores de frutas y hortalizas";"ANDALUCIA";23/07/2024;;16/12/2025
"539";"ES012A";"F21365630";"ONUBAFRUIT";"Asociación de organizaciones de productores de frutas y hortalizas";"ANDALUCIA";23/07/2024;;16/12/2025
"540";"ES013A";"G06213284";"ASOCIACIÓN DE FRUTICULTORES DE EXTREMADURA-AFRUEX";"Asociación de organizaciones de productores de frutas y hortalizas";"EXTREMADURA";23/07/2024;;16/12/2025
"541";"ES014A";"V02794576";"PAGESOS DE MALLORCA AIE";"Asociación de organizaciones de productores de frutas y hortalizas";"BALEARES";23/07/2024;;16/12/2025
"542";"ES015A";"G44772374";"ASSOCIACIÓ D’ORGANITZACIONS DE PRODUCTORS D’AVELLANA";"Asociación de organizaciones de productores de frutas y hortalizas";"CATALUÑA";23/07/2024;;
"543";"ES1171";"F56922107";"UNIVALL COOP. V.";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";14/08/2025;;
"544";"ES0917";"F12654596";"SAN ALFONSO";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";17/12/2025;17/12/2025;
"545";"ES1169";"F10638468";"COALMAR FRUITS S. COOP. V.";"Organización de productores de frutas y hortalizas";"COMUNIDAD VALENCIANA";17/12/2025;17/12/2025;
"546";"ES1173";"B22960785";"WORLMARK OPFH";"Organización de productores de frutas y hortalizas";"MURCIA";17/12/2025;17/12/2025;
